"","i","R","P","Gene","FDR","syngo","ENSG"
"1",1,0.0514370343726917,0.245095139710696,"WASH7P",0.319730995867463,FALSE,"ENSG00000227232"
"2",2,0.0947193052854009,0.100496008626384,"RP11-34P13.7",0.169626750958578,FALSE,"ENSG00000238009"
"3",3,-0.0321890108497618,0.333195541045265,"CICP27",0.391178290091279,FALSE,"ENSG00000233750"
"4",4,0.228649596720293,0.000623559292238157,"AL627309.1",0.00280337915457255,FALSE,"ENSG00000237683"
"5",5,0.152527813749214,0.0183408202364054,"RP11-34P13.13",0.0456013684058738,FALSE,"ENSG00000241860"
"6",6,-0.105050764576545,0.0776341136528225,"AP006222.2",0.139595423306469,FALSE,"ENSG00000228463"
"7",7,0.107862161190108,0.0721334474342537,"RP4-669L17.10",0.132299750977032,FALSE,"ENSG00000237094"
"8",8,-0.057294236347572,0.220926113147037,"RP5-857K21.4",0.298698075950826,FALSE,"ENSG00000230021"
"9",9,0.153222797728308,0.0178967176509882,"MTND1P23",0.0446803892946068,FALSE,"ENSG00000225972"
"10",10,-0.0771248214668424,0.149627052477931,"MTND2P28",0.226306675743265,FALSE,"ENSG00000225630"
"11",11,-0.0264654284996395,0.361545238661604,"hsa-mir-6723",0.412105965572127,FALSE,"ENSG00000237973"
"12",12,-0.116348777154785,0.0572825728575302,"RP5-857K21.7",0.110949983823365,FALSE,"ENSG00000229344"
"13",13,0.0531694926527535,0.23780654767317,"MTATP6P1",0.313947946093562,FALSE,"ENSG00000248527"
"14",14,0.0577927478288848,0.218931929885159,"RP5-857K21.11",0.296783952103654,FALSE,"ENSG00000198744"
"15",15,-0.0620094118935656,0.202469808342346,"CICP3",0.280783204998984,FALSE,"ENSG00000229376"
"16",16,-0.0323480796438158,0.332419792635463,"RP11-206L10.1",0.390450813021578,FALSE,"ENSG00000224956"
"17",17,0.137386216373457,0.0305021780129044,"RP11-206L10.3",0.0684938370596136,FALSE,"ENSG00000235373"
"18",18,-0.11154083712755,0.0653795746719065,"RP11-206L10.2",0.122747903731098,FALSE,"ENSG00000228327"
"19",19,-0.0254619640022829,0.366597391182849,"RP11-206L10.9",0.415408040542833,FALSE,"ENSG00000237491"
"20",20,-0.152999592292304,0.0180383689549665,"RP11-206L10.8",0.0449499081928866,FALSE,"ENSG00000230092"
"21",21,-0.0146208483797786,0.422439930189478,"FAM87B",0.4530023045601,FALSE,"ENSG00000177757"
"22",22,0.106441638704472,0.0748754810221573,"LINC00115",0.135908778597004,FALSE,"ENSG00000225880"
"23",23,-0.29515730441887,7.59934407653411e-06,"RP11-206L10.11",6.83428651557068e-05,FALSE,"ENSG00000228794"
"24",24,-0.0744018120930009,0.158420801410248,"FAM41C",0.235950892163681,FALSE,"ENSG00000230368"
"25",25,0.298055090242374,6.03001730143596e-06,"RP11-54O7.3",5.58872840211828e-05,FALSE,"ENSG00000223764"
"26",26,0.387047119575224,5.61851839782716e-10,"SAMD11",1.97934072430495e-08,FALSE,"ENSG00000187634"
"27",27,-0.148461316212573,0.0211253281109845,"NOC2L",0.051077551413823,FALSE,"ENSG00000188976"
"28",28,-0.0880715490463215,0.117509670477328,"KLHL17",0.190286356417522,TRUE,"ENSG00000187961"
"29",29,0.117782690480021,0.0550222024258307,"C1orf170",0.107615900913377,FALSE,"ENSG00000187642"
"30",30,0.00119987339518105,0.493595960863952,"RP11-54O7.17",0.496124933538662,FALSE,"ENSG00000272512"
"31",31,0.0744835668597272,0.15815210221671,"HES4",0.235638389080891,FALSE,"ENSG00000188290"
"32",32,0.0165765200656307,0.412219344133601,"ISG15",0.446034125134556,FALSE,"ENSG00000187608"
"33",33,-0.0926456961224266,0.105604834382082,"AGRN",0.175773809348316,TRUE,"ENSG00000188157"
"34",34,-0.0496369482671089,0.252789491981053,"RP11-465B22.3",0.326574842439206,FALSE,"ENSG00000217801"
"35",35,0.0483384250125121,0.258415278894848,"C1orf159",0.331433396133374,FALSE,"ENSG00000131591"
"36",36,-0.174414695063021,0.00804818074142736,"TNFRSF18",0.0233803856904706,FALSE,"ENSG00000186891"
"37",37,-0.0188601802319795,0.400357525002728,"TNFRSF4",0.43803127974764,FALSE,"ENSG00000186827"
"38",38,0.229206040833762,0.000604805384793443,"SDF4",0.00273371487456896,FALSE,"ENSG00000078808"
"39",39,-0.0652837774840378,0.190195548423356,"B3GALT6",0.26905711728182,FALSE,"ENSG00000176022"
"40",40,-0.0413080837180815,0.289923181634355,"FAM132A",0.356919088501504,FALSE,"ENSG00000184163"
"41",41,0.164278532751016,0.0119461173562544,"RP5-902P8.12",0.0322506487181127,FALSE,"ENSG00000260179"
"42",42,0.00101946341911826,0.494558793428099,"UBE2J2",0.496718438814248,FALSE,"ENSG00000160087"
"43",43,-0.0774661408042023,0.148547457169146,"RP5-902P8.10",0.225150327068218,FALSE,"ENSG00000230415"
"44",44,-0.0717206270015632,0.167393162886833,"SCNN1D",0.245210131743818,FALSE,"ENSG00000162572"
"45",45,-0.15247761724281,0.0183732455890706,"ACAP3",0.0456649663690601,FALSE,"ENSG00000131584"
"46",46,-0.0643530397373247,0.193638677166574,"PUSL1",0.27242450313014,FALSE,"ENSG00000169972"
"47",47,0.107852029110346,0.0721527378622642,"CPSF3L",0.132323002898351,FALSE,"ENSG00000127054"
"48",48,-0.167942324857465,0.0103853189024011,"RP5-890O3.9",0.0288520332799649,FALSE,"ENSG00000240731"
"49",49,-0.00910272845704983,0.451530172737363,"GLTPD1",0.470890127459763,FALSE,"ENSG00000224051"
"50",50,-0.0657301181091669,0.188557365671394,"TAS1R3",0.267287679731127,FALSE,"ENSG00000169962"
"51",51,-0.0561412532863175,0.22557665718684,"DVL1",0.302898195564936,TRUE,"ENSG00000107404"
"52",52,0.191273273396293,0.00395084638092297,"MXRA8",0.0131694879364099,FALSE,"ENSG00000162576"
