"","gene","Seed","Gene","R","P","FDR"
"cor","TSPAN6","ENSG00000244731","ENSG00000000003",0.285445969252308,0.000501095073990799,0.00949648855664621
"cor1","TNMD","ENSG00000244731","ENSG00000000005",-0.204534263950308,0.0135965863862152,0.0858385842017795
"cor2","DPM1","ENSG00000244731","ENSG00000000419",-0.0755777922654987,0.366264085710465,0.628554133854736
"cor3","SCYL3","ENSG00000244731","ENSG00000000457",0.0393955341675713,0.638025033958259,0.82586515895095
"cor4","C1orf112","ENSG00000244731","ENSG00000000460",0.0843217671824287,0.313273217202745,0.578390473365987
"cor5","FGR","ENSG00000244731","ENSG00000000938",0.286172544359102,0.000484073687245872,0.00926244633635866
"cor6","CFH","ENSG00000244731","ENSG00000000971",0.329785538952555,5.10670426574681e-05,0.00184342010847841
"cor7","FUCA2","ENSG00000244731","ENSG00000001036",0.302661749586769,0.00021546642338512,0.00529821443907019
"cor8","GCLC","ENSG00000244731","ENSG00000001084",0.123626160490606,0.138483818090368,0.367231663382509
"cor9","NFYA","ENSG00000244731","ENSG00000001167",0.104365327672208,0.211569077850023,0.465271451579053
"cor10","STPG1","ENSG00000244731","ENSG00000001460",-0.12987125370873,0.1194887591358,0.337132269071276
"cor11","NIPAL3","ENSG00000244731","ENSG00000001461",-0.078424180697092,0.348437762901604,0.611634877138591
"cor12","LAS1L","ENSG00000244731","ENSG00000001497",0.0282516658191729,0.735877162201454,0.880855757055897
"cor13","ENPP4","ENSG00000244731","ENSG00000001561",-0.0558246025111641,0.504823566212786,0.739307144450462
"cor14","SEMA3F","ENSG00000244731","ENSG00000001617",0.265838322498582,0.00123027709804098,0.017374883246525
"cor15","CFTR","ENSG00000244731","ENSG00000001626",0.0230889458802615,0.782810659270532,0.905452958478954
"cor16","ANKIB1","ENSG00000244731","ENSG00000001629",0.107757950220872,0.197013535112384,0.447209731807974
"cor17","CYP51A1","ENSG00000244731","ENSG00000001630",0.0431783172506505,0.606080504561449,0.807620878732581
"cor18","KRIT1","ENSG00000244731","ENSG00000001631",0.0309166007145724,0.712014962987302,0.868544354017451
"cor19","RAD52","ENSG00000244731","ENSG00000002016",0.0235903347170637,0.778215086257189,0.903297258869299
"cor20","BAD","ENSG00000244731","ENSG00000002330",-0.172362997739547,0.0381626450483615,0.166261665563974
"cor21","LAP3","ENSG00000244731","ENSG00000002549",0.412451914289822,2.53687568838401e-07,3.15871661799079e-05
"cor22","CD99","ENSG00000244731","ENSG00000002586",0.497474910865328,1.94558312169684e-10,1.5670456055817e-07
"cor23","HS3ST1","ENSG00000244731","ENSG00000002587",-0.0884919236794256,0.28985526039536,0.554867014366459
"cor24","WNT16","ENSG00000244731","ENSG00000002745",-0.12041539775507,0.149105385854049,0.382279998546383
"cor25","HECW1","ENSG00000244731","ENSG00000002746",-0.261529234576058,0.00148569883922948,0.0198406227369434
"cor26","MAD1L1","ENSG00000244731","ENSG00000002822",0.021409603671849,0.798256831051451,0.912789332897964
"cor27","LASP1","ENSG00000244731","ENSG00000002834",-0.100279464616714,0.230100079468976,0.488477015751041
"cor28","SNX11","ENSG00000244731","ENSG00000002919",-0.183983610689038,0.026744492965089,0.132470892403678
"cor29","TMEM176A","ENSG00000244731","ENSG00000002933",0.361102592096906,8.11531030718604e-06,0.000455695006225301
"cor30","M6PR","ENSG00000244731","ENSG00000003056",-0.109811235313481,0.188564423539312,0.436403366022715
"cor31","KLHL13","ENSG00000244731","ENSG00000003096",-0.0238286654432977,0.776033298937565,0.901942742010137
"cor32","CYP26B1","ENSG00000244731","ENSG00000003137",-0.137576313747626,0.0989110024014037,0.301446396581977
"cor33","ICA1","ENSG00000244731","ENSG00000003147",-0.296149200993898,0.00029835835663561,0.00656694131846815
"cor34","DBNDD1","ENSG00000244731","ENSG00000003249",-0.162428464281893,0.0509439216976697,0.199609096660952
"cor35","ALS2","ENSG00000244731","ENSG00000003393",-0.159513423522493,0.0553064402183902,0.209812803972445
"cor36","CASP10","ENSG00000244731","ENSG00000003400",0.153458661425344,0.0653546258899563,0.232980653898718
"cor37","CFLAR","ENSG00000244731","ENSG00000003402",0.381705429249137,2.16710630171963e-06,0.000165741833295317
"cor38","TFPI","ENSG00000244731","ENSG00000003436",0.106759365015914,0.201220357204252,0.452575437313028
"cor39","NDUFAF7","ENSG00000244731","ENSG00000003509",-0.101516623277578,0.224372423463325,0.481117062434741
"cor40","RBM5","ENSG00000244731","ENSG00000003756",0.0946886532166503,0.257264111513846,0.519430250275105
"cor41","MTMR7","ENSG00000244731","ENSG00000003987",-0.242695747209536,0.00326885561872815,0.0339997920569408
"cor42","SLC7A2","ENSG00000244731","ENSG00000003989",0.406577449349736,3.88682762071655e-07,4.31806444380812e-05
"cor43","ARF5","ENSG00000244731","ENSG00000004059",-0.217374951105775,0.00863014028840975,0.0635890843934838
"cor44","SARM1","ENSG00000244731","ENSG00000004139",-0.0772258570419884,0.355875056205817,0.619945114896799
"cor45","POLDIP2","ENSG00000244731","ENSG00000004142",-0.316945773743906,0.000102698712767911,0.00305653189709022
"cor46","PLXND1","ENSG00000244731","ENSG00000004399",0.145702707704594,0.0803512220747403,0.265237243564851
"cor47","AK2","ENSG00000244731","ENSG00000004455",0.27052762218443,0.000998404480608806,0.0151280876444511
"cor48","CD38","ENSG00000244731","ENSG00000004468",0.38822066914764,1.40036482795347e-06,0.000117185074921016
"cor49","FKBP4","ENSG00000244731","ENSG00000004478",-0.232052691995647,0.0049766316293918,0.0448246730929472
"cor50","KDM1A","ENSG00000244731","ENSG00000004487",-0.0350233601072411,0.675789719011846,0.847664211495588
"cor51","RBM6","ENSG00000244731","ENSG00000004534",0.071869778547166,0.390314039367839,0.65011981715566
"cor52","CAMKK1","ENSG00000244731","ENSG00000004660",-0.166651509416899,0.0451328815869254,0.184888687139152
"cor53","RECQL","ENSG00000244731","ENSG00000004700",0.156732452757334,0.0597510397273824,0.22065665391009
"cor54","CCDC132","ENSG00000244731","ENSG00000004766",-0.21445208722643,0.00959194960391509,0.0680195756405744
"cor55","HSPB6","ENSG00000244731","ENSG00000004776",0.153161371253466,0.0658840444742169,0.234123171415754
"cor56","ARHGAP33","ENSG00000244731","ENSG00000004777",-0.00453568841343716,0.956820051405291,0.98257516382638
"cor57","NDUFAB1","ENSG00000244731","ENSG00000004779",-0.217495704515271,0.00859230812106493,0.0635096499891963
"cor58","PDK4","ENSG00000244731","ENSG00000004799",0.260567031660348,0.00154896327414524,0.0204418737469634
"cor59","ZMYND10","ENSG00000244731","ENSG00000004838",0.0443392953913244,0.596420301843904,0.801715577493311
"cor60","ARX","ENSG00000244731","ENSG00000004848",-0.0718453692101904,0.390475438091533,0.650304596883638
"cor61","SLC25A13","ENSG00000244731","ENSG00000004864",0.0557440498983011,0.505439452818573,0.739868779833791
"cor62","ST7","ENSG00000244731","ENSG00000004866",-0.104920353692459,0.209136620724802,0.462419012979436
"cor63","CDC27","ENSG00000244731","ENSG00000004897",-0.113965385912838,0.17228488927306,0.414648495295905
"cor64","HCCS","ENSG00000244731","ENSG00000004961",-0.305660257960982,0.000185001147644347,0.00474922268863087
"cor65","DVL2","ENSG00000244731","ENSG00000004975",0.175514715979304,0.034720340663346,0.156694459859408
"cor66","UPF1","ENSG00000244731","ENSG00000005007",0.10649653341715,0.20233830940634,0.453734996257636
"cor67","SKAP2","ENSG00000244731","ENSG00000005020",-0.0851424285646249,0.308569958707804,0.573917946606393
"cor68","SLC25A5","ENSG00000244731","ENSG00000005022",0.0290117967252189,0.729043934174157,0.877965193634778
"cor69","CCDC109B","ENSG00000244731","ENSG00000005059",0.0833560027826126,0.318867560214313,0.584429945352519
