Gene	Set
HECW1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
ICA1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
MTMR7	C4A-negative-network-PEC_CN2_and_GTEX_CN2
HCCS	C4A-negative-network-PEC_CN2_and_GTEX_CN2
TAC1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
MAP3K9	C4A-negative-network-PEC_CN2_and_GTEX_CN2
ARHGAP44	C4A-negative-network-PEC_CN2_and_GTEX_CN2
PAFAH1B1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
HEATR5B	C4A-negative-network-PEC_CN2_and_GTEX_CN2
UBE3C	C4A-negative-network-PEC_CN2_and_GTEX_CN2
SLC7A14	C4A-negative-network-PEC_CN2_and_GTEX_CN2
MDH1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
PRDM11	C4A-negative-network-PEC_CN2_and_GTEX_CN2
SYT13	C4A-negative-network-PEC_CN2_and_GTEX_CN2
GABRA1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
SLC45A4	C4A-negative-network-PEC_CN2_and_GTEX_CN2
GRAMD1B	C4A-negative-network-PEC_CN2_and_GTEX_CN2
ARNTL2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
ANK1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
ATP6V0A1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
APBA2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
TLL1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
PHLPP2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
STAU2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
RAB27B	C4A-negative-network-PEC_CN2_and_GTEX_CN2
PHF15	C4A-negative-network-PEC_CN2_and_GTEX_CN2
WDR37	C4A-negative-network-PEC_CN2_and_GTEX_CN2
C12orf4	C4A-negative-network-PEC_CN2_and_GTEX_CN2
HDAC9	C4A-negative-network-PEC_CN2_and_GTEX_CN2
MAPK9	C4A-negative-network-PEC_CN2_and_GTEX_CN2
PIK3CB	C4A-negative-network-PEC_CN2_and_GTEX_CN2
FSTL4	C4A-negative-network-PEC_CN2_and_GTEX_CN2
NNAT	C4A-negative-network-PEC_CN2_and_GTEX_CN2
CBLN4	C4A-negative-network-PEC_CN2_and_GTEX_CN2
CUL1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
ATG5	C4A-negative-network-PEC_CN2_and_GTEX_CN2
CDK14	C4A-negative-network-PEC_CN2_and_GTEX_CN2
RIMBP2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
NCKAP1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
GUCY1B3	C4A-negative-network-PEC_CN2_and_GTEX_CN2
SUGP2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
IPO5	C4A-negative-network-PEC_CN2_and_GTEX_CN2
OAT	C4A-negative-network-PEC_CN2_and_GTEX_CN2
MAP2K4	C4A-negative-network-PEC_CN2_and_GTEX_CN2
SNAP91	C4A-negative-network-PEC_CN2_and_GTEX_CN2
SEC61A2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
MPPED2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
SYT1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
REEP1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
VPS35	C4A-negative-network-PEC_CN2_and_GTEX_CN2
GNB5	C4A-negative-network-PEC_CN2_and_GTEX_CN2
PFN2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
PTPN3	C4A-negative-network-PEC_CN2_and_GTEX_CN2
ASNS	C4A-negative-network-PEC_CN2_and_GTEX_CN2
AP3M2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
OSBPL3	C4A-negative-network-PEC_CN2_and_GTEX_CN2
ATP2B1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
LNX1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
TRPC5	C4A-negative-network-PEC_CN2_and_GTEX_CN2
TRHDE	C4A-negative-network-PEC_CN2_and_GTEX_CN2
TMEM38A	C4A-negative-network-PEC_CN2_and_GTEX_CN2
ADAM11	C4A-negative-network-PEC_CN2_and_GTEX_CN2
NSF	C4A-negative-network-PEC_CN2_and_GTEX_CN2
NTN4	C4A-negative-network-PEC_CN2_and_GTEX_CN2
NUAK1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
DPP8	C4A-negative-network-PEC_CN2_and_GTEX_CN2
IPCEF1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
WSCD2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
BCAP29	C4A-negative-network-PEC_CN2_and_GTEX_CN2
KIFAP3	C4A-negative-network-PEC_CN2_and_GTEX_CN2
TPD52	C4A-negative-network-PEC_CN2_and_GTEX_CN2
RARB	C4A-negative-network-PEC_CN2_and_GTEX_CN2
USP33	C4A-negative-network-PEC_CN2_and_GTEX_CN2
PAK3	C4A-negative-network-PEC_CN2_and_GTEX_CN2
MAP2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
UBE2K	C4A-negative-network-PEC_CN2_and_GTEX_CN2
PPP2R5C	C4A-negative-network-PEC_CN2_and_GTEX_CN2
DDX1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
MAGI3	C4A-negative-network-PEC_CN2_and_GTEX_CN2
EPB41L3	C4A-negative-network-PEC_CN2_and_GTEX_CN2
GSK3B	C4A-negative-network-PEC_CN2_and_GTEX_CN2
SMAP2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
KIAA1467	C4A-negative-network-PEC_CN2_and_GTEX_CN2
HACE1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
WDR47	C4A-negative-network-PEC_CN2_and_GTEX_CN2
TTC39A	C4A-negative-network-PEC_CN2_and_GTEX_CN2
EPDR1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
SNX10	C4A-negative-network-PEC_CN2_and_GTEX_CN2
PPEF1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
NLK	C4A-negative-network-PEC_CN2_and_GTEX_CN2
ATXN7L3	C4A-negative-network-PEC_CN2_and_GTEX_CN2
DNM1L	C4A-negative-network-PEC_CN2_and_GTEX_CN2
NECAP1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
WDR7	C4A-negative-network-PEC_CN2_and_GTEX_CN2
SLC7A8	C4A-negative-network-PEC_CN2_and_GTEX_CN2
PPM1F	C4A-negative-network-PEC_CN2_and_GTEX_CN2
CBX7	C4A-negative-network-PEC_CN2_and_GTEX_CN2
SYNGR1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
CERK	C4A-negative-network-PEC_CN2_and_GTEX_CN2
AP4S1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
GNPNAT1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
DDHD1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
ATP6V1D	C4A-negative-network-PEC_CN2_and_GTEX_CN2
GSKIP	C4A-negative-network-PEC_CN2_and_GTEX_CN2
SEC23A	C4A-negative-network-PEC_CN2_and_GTEX_CN2
NDRG3	C4A-negative-network-PEC_CN2_and_GTEX_CN2
DNAJC5	C4A-negative-network-PEC_CN2_and_GTEX_CN2
NDUFAF5	C4A-negative-network-PEC_CN2_and_GTEX_CN2
CELF4	C4A-negative-network-PEC_CN2_and_GTEX_CN2
RNMT	C4A-negative-network-PEC_CN2_and_GTEX_CN2
RP3-324O17.4	C4A-negative-network-PEC_CN2_and_GTEX_CN2
CACNA1F	C4A-negative-network-PEC_CN2_and_GTEX_CN2
UBL4A	C4A-negative-network-PEC_CN2_and_GTEX_CN2
HTR2A	C4A-negative-network-PEC_CN2_and_GTEX_CN2
NDFIP2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
ARHGEF7	C4A-negative-network-PEC_CN2_and_GTEX_CN2
NDRG4	C4A-negative-network-PEC_CN2_and_GTEX_CN2
HSDL1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
UBFD1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
HMOX2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
XYLT1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
RPGRIP1L	C4A-negative-network-PEC_CN2_and_GTEX_CN2
NOMO1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
DMXL2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
GDAP1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
RAB2A	C4A-negative-network-PEC_CN2_and_GTEX_CN2
AVL9	C4A-negative-network-PEC_CN2_and_GTEX_CN2
RUNDC3B	C4A-negative-network-PEC_CN2_and_GTEX_CN2
LMBR1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
GRB10	C4A-negative-network-PEC_CN2_and_GTEX_CN2
STX1A	C4A-negative-network-PEC_CN2_and_GTEX_CN2
POU6F2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
TSPAN13	C4A-negative-network-PEC_CN2_and_GTEX_CN2
COA1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
SLC1A1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
CORO2A	C4A-negative-network-PEC_CN2_and_GTEX_CN2
LHX6	C4A-negative-network-PEC_CN2_and_GTEX_CN2
ELAVL2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
PPP3CB	C4A-negative-network-PEC_CN2_and_GTEX_CN2
