"","seed","up_fdr","down_fdr","up_complement_OR","up_complement_P","down_synGO_OR","down_synGO_P"
"1","TSPAN6",4050,4671,2.97889749717925,0.00199297375923643,4.44881065201917,7.53485405486515e-110
"2","TNMD",1,0,0,1,0,1
"3","DPM1",4279,3669,0.835134285936822,0.836709576215773,2.79869777034165,2.93418263357373e-43
"4","SCYL3",761,352,0,0.637078483993393,0.4047449007655,0.0200515000890895
"5","C1orf112",3328,3456,2.39231807721646,0.0184734101927924,5.24115238286106,1.18294640639178e-122
"6","FGR",1537,700,23.4857958596823,2.03461088666085e-20,4.78466991890166,7.93823368210106e-35
"7","CFH",2114,2051,7.6434626648768,1.16399485696429e-08,6.66943992971351,2.83872936585245e-128
"8","FUCA2",4763,5254,8.84609563573152,9.97546975965938e-12,4.28828904578331,4.62559505468753e-108
"9","GCLC",4241,4865,2.27480955984996,0.0195893604879138,4.17872498014049,1.31056345773443e-101
"10","NFYA",3376,3803,0.696382128424184,0.648739805128688,3.33183196247295,1.92186113465818e-62
"11","STPG1",3245,2280,0.168632574267011,0.0574561080395243,0.832576772524891,0.133841027875106
"12","NIPAL3",2358,2076,0.495066882269048,0.429882836958419,1.15537331777778,0.183250355398678
"13","LAS1L",2258,2151,0.519498025970751,0.581427664307552,3.08868832045623,1.05273108319836e-37
"14","ENPP4",4278,4572,1.00243552777169,1,2.73176933279568,2.16358336581049e-46
"15","SEMA3F",1685,1091,8.84935179748131,3.50727178011339e-09,1.26331765874086,0.100339397566612
"16","CFTR",1733,1541,3.79258770732945,0.00163211578077015,3.57709008942134,2.28328598469458e-39
"17","ANKIB1",4822,5502,0.866782499231777,0.844998080123112,3.53395468391654,3.83361118754355e-81
"18","CYP51A1",4793,4116,0.873473287177146,0.84517827157631,2.2497775922211,9.21526329579671e-28
"19","KRIT1",3175,3696,0.747210212895137,0.813660027625839,3.19704014012893,5.0436120213685e-57
"20","RAD52",1119,1185,0,0.26280127179243,4.843773267142,1.36297047980244e-54
"21","BAD",3314,2514,0.337803748799137,0.162656404966888,1.47375927672706,6.43003048427162e-05
"22","LAP3",4369,3997,7.97955012847347,8.86765936410018e-11,4.26107262895653,5.66310646938205e-97
"23","CD99",3307,3630,12.2861530390913,1.11951433886218e-14,3.66903472668645,1.40422112151866e-72
"24","HS3ST1",84,27,0,1,0.905153068998823,1
"25","WNT16",1095,254,0,0.262986977469968,0.185246947648486,0.00351561988593534
"26","HECW1",5542,5331,0.491775465135067,0.185933211019633,0.881137531337512,0.11968121930645
"27","MAD1L1",2722,1686,0,0.0197584373720886,1.70065577527052,1.5328930024171e-06
"28","LASP1",5092,4998,0.311359173293626,0.0496232923235084,0.977126935449912,0.810991217045212
"29","SNX11",2159,1530,0,0.0469491599854962,1.63365161185206,2.44649410289026e-05
"30","TMEM176A",2891,3131,14.3316999606404,3.80753764082076e-16,4.27197101215096,2.49357596090975e-86
"31","M6PR",3338,2480,0.515400434988172,0.358323782601801,2.99243223913087,6.46990301299432e-39
"32","KLHL13",3853,2754,0.283670994068295,0.0796782349299508,1.94920534985878,2.51212465167784e-14
"33","CYP26B1",4416,4617,0.3708785255283,0.100277550894724,0.900425247334135,0.233218931268422
"34","ICA1",3940,2418,0.424805671383233,0.195602441508089,1.12446678769082,0.2563661244836
"35","DBNDD1",4960,5260,0.837468386428316,0.844912368919521,1.05389055441427,0.506201026642205
"36","ALS2",4220,3097,0.391817716884962,0.141367443147368,0.905377793593716,0.357071230762765
"37","CASP10",2216,2142,6.56387128158283,1.66466832126793e-07,6.12356716048871,1.51825537167879e-117
"38","CFLAR",5586,6001,5.32027010005197,1.23243222075715e-07,4.47421690337791,3.92527217716744e-118
"39","TFPI",1392,1108,4.78911570395065,0.000342421802172007,3.53142218505599,1.20132600934005e-29
"40","NDUFAF7",3801,2587,0.288421345515101,0.0791375115570458,1.78309711208795,2.40961034465809e-10
"41","RBM5",1690,1026,0.346778616486718,0.524406389064176,3.90722062098929,1.19878656932758e-33
"42","MTMR7",3895,2386,0.430738670063141,0.195044100077395,0.881604650526346,0.301262630398437
"43","SLC7A2",4211,5103,8.3439226962999,3.77612101581704e-11,4.03002139712608,1.00717690803168e-97
"44","ARF5",5190,3695,0.534095134407338,0.246846914363038,0.846122412983638,0.0795680787958468
"45","SARM1",3767,3295,0.448011444115017,0.270203456048098,0.980021437963387,0.887403652821254
"46","POLDIP2",4124,3295,0.402282170309172,0.140788683244775,0.741701402860224,0.00394691601405593
"47","PLXND1",4600,4458,0.620363647938743,0.420044706709427,1.02394925335108,0.770564975531587
"48","AK2",5297,5125,6.96936711940871,1.0255393264129e-09,4.69723470269985,7.58294920434655e-122
"49","CD38",3669,4202,1.88052273065589,0.116826879083061,4.14298255704647,6.71725207843557e-95
"50","FKBP4",2085,1620,0,0.0467050630135262,1.11889484131405,0.363254342811902
"51","KDM1A",3202,1421,0.540396116127338,0.478988304763248,0.777621555883411,0.111890754272549
"52","RBM6",1108,1133,0,0.262832577290126,4.53642214248104,2.68637512211167e-47
"53","CAMKK1",5144,4070,0.420688152793198,0.119807765343681,0.877422746470178,0.153831815962075
"54","RECQL",5170,5170,3.29134252619733,0.000282716995622453,3.57251990741781,4.90393736977449e-81
"55","CCDC132",4517,3729,0.2344302175904,0.0247055408183222,1.77251120217896,7.41223334058591e-13
"56","HSPB6",937,737,1.32281586066037,0.665781653000244,1.67033725622918,0.0016711723837912
"57","ARHGAP33",4618,4739,0.617577233779169,0.420232947692248,1.12875799171219,0.132152706836076
"58","NDUFAB1",3172,1987,0.355314090542294,0.161910142274614,1.67557450341814,6.0347920020732e-07
"59","PDK4",3958,4954,5.52186409414701,1.6077374930531e-07,4.5913765061877,5.4553276096836e-117
"60","ZMYND10",1230,767,0,0.267271503692473,2.379014154408,2.24814543403091e-09
"61","ARX",704,734,0,0.631310125264338,1.11148409596637,0.569036796099954
"62","SLC25A13",4251,4694,1.5800090580027,0.210943081311135,4.57116247692217,2.49853466549234e-114
"63","ST7",2069,1382,0.571031417045696,0.772891175482142,0.878350500994919,0.441095347633274
"64","CDC27",4874,4013,0.449986563784309,0.165024857468967,1.84963356735784,1.56786183576917e-15
"65","HCCS",4140,2955,0.260281119284548,0.0550126824784136,0.938016380981958,0.553073608354215
"66","DVL2",3320,3415,0.519154858903411,0.358207301760752,3.43720266755258,2.25200080424103e-62
"67","UPF1",3183,2911,0.54447519561015,0.478075191387808,1.05352405338834,0.584098732934805
"68","SKAP2",4311,3736,0.381481065800232,0.101026466409828,0.783003417072217,0.0107093474671486
"69","SLC25A5",315,169,0,1,0.423714145256938,0.16836883312912
"70","CCDC109B",2216,1707,2.50029776173572,0.025163557039248,4.36183391929436,1.83155333513304e-60
"71","POLR2J",1022,1199,1.20841991715014,0.683406856019509,4.34063426532489,6.73311150348488e-46
"72","DHX33",4215,3856,0.392151735590469,0.141323967317836,0.937356809726344,0.507520540550072
"73","THSD7A",2347,1769,0.497391984362769,0.430061283638371,1.07744437652078,0.532959381028853
"74","LIG3",2933,1823,0.388098425447654,0.226869604814631,1.21152148417853,0.0968461975967286
