gene	set
C1QA	Complement (57 genes)
C1QB	Complement (57 genes)
C1QC	Complement (57 genes)
C1R	Complement (57 genes)
C1S	Complement (57 genes)
C2	Complement (57 genes)
C3	Complement (57 genes)
C4A	Complement (57 genes)
C4B	Complement (57 genes)
C5	Complement (57 genes)
C6	Complement (57 genes)
C7	Complement (57 genes)
C8A	Complement (57 genes)
C8B	Complement (57 genes)
C8G	Complement (57 genes)
C9	Complement (57 genes)
CFB	Complement (57 genes)
CFD	Complement (57 genes)
CFP	Complement (57 genes)
COLEC10	Complement (57 genes)
COLEC11	Complement (57 genes)
FCN1	Complement (57 genes)
FCN2	Complement (57 genes)
FCN3	Complement (57 genes)
MASP1	Complement (57 genes)
MASP2	Complement (57 genes)
MBL2	Complement (57 genes)
C3AR1	Complement (57 genes)
C4BPA	Complement (57 genes)
C4BPB	Complement (57 genes)
C5AR1	Complement (57 genes)
CD46	Complement (57 genes)
CD55	Complement (57 genes)
CD59	Complement (57 genes)
CD93	Complement (57 genes)
CFH	Complement (57 genes)
CFHR1	Complement (57 genes)
CFHR2	Complement (57 genes)
CFHR3	Complement (57 genes)
CFHR4	Complement (57 genes)
CFHR5	Complement (57 genes)
CFI	Complement (57 genes)
CLU	Complement (57 genes)
CR1	Complement (57 genes)
CR2	Complement (57 genes)
CSMD1	Complement (57 genes)
CSMD2	Complement (57 genes)
CSMD3	Complement (57 genes)
ELANE	Complement (57 genes)
F2	Complement (57 genes)
ITGAM	Complement (57 genes)
ITGAX	Complement (57 genes)
ITGB2	Complement (57 genes)
SERPING1	Complement (57 genes)
VSIG4	Complement (57 genes)
VTN	Complement (57 genes)
C5AR2	Complement (57 genes)
C1QA	Complement + C4A PPI STRING (132 genes)
C1QB	Complement + C4A PPI STRING (132 genes)
C1QC	Complement + C4A PPI STRING (132 genes)
C1R	Complement + C4A PPI STRING (132 genes)
C1S	Complement + C4A PPI STRING (132 genes)
C2	Complement + C4A PPI STRING (132 genes)
C3	Complement + C4A PPI STRING (132 genes)
C4A	Complement + C4A PPI STRING (132 genes)
C4B	Complement + C4A PPI STRING (132 genes)
C5	Complement + C4A PPI STRING (132 genes)
C6	Complement + C4A PPI STRING (132 genes)
C7	Complement + C4A PPI STRING (132 genes)
C8A	Complement + C4A PPI STRING (132 genes)
C8B	Complement + C4A PPI STRING (132 genes)
C8G	Complement + C4A PPI STRING (132 genes)
C9	Complement + C4A PPI STRING (132 genes)
CFB	Complement + C4A PPI STRING (132 genes)
CFD	Complement + C4A PPI STRING (132 genes)
CFP	Complement + C4A PPI STRING (132 genes)
COLEC10	Complement + C4A PPI STRING (132 genes)
COLEC11	Complement + C4A PPI STRING (132 genes)
FCN1	Complement + C4A PPI STRING (132 genes)
FCN2	Complement + C4A PPI STRING (132 genes)
FCN3	Complement + C4A PPI STRING (132 genes)
MASP1	Complement + C4A PPI STRING (132 genes)
MASP2	Complement + C4A PPI STRING (132 genes)
MBL2	Complement + C4A PPI STRING (132 genes)
C3AR1	Complement + C4A PPI STRING (132 genes)
C4BPA	Complement + C4A PPI STRING (132 genes)
C4BPB	Complement + C4A PPI STRING (132 genes)
C5AR1	Complement + C4A PPI STRING (132 genes)
CD46	Complement + C4A PPI STRING (132 genes)
CD55	Complement + C4A PPI STRING (132 genes)
CD59	Complement + C4A PPI STRING (132 genes)
CD93	Complement + C4A PPI STRING (132 genes)
CFH	Complement + C4A PPI STRING (132 genes)
CFHR1	Complement + C4A PPI STRING (132 genes)
CFHR2	Complement + C4A PPI STRING (132 genes)
CFHR3	Complement + C4A PPI STRING (132 genes)
CFHR4	Complement + C4A PPI STRING (132 genes)
CFHR5	Complement + C4A PPI STRING (132 genes)
CFI	Complement + C4A PPI STRING (132 genes)
CLU	Complement + C4A PPI STRING (132 genes)
CR1	Complement + C4A PPI STRING (132 genes)
CR2	Complement + C4A PPI STRING (132 genes)
CSMD1	Complement + C4A PPI STRING (132 genes)
CSMD2	Complement + C4A PPI STRING (132 genes)
CSMD3	Complement + C4A PPI STRING (132 genes)
ELANE	Complement + C4A PPI STRING (132 genes)
F2	Complement + C4A PPI STRING (132 genes)
ITGAM	Complement + C4A PPI STRING (132 genes)
ITGAX	Complement + C4A PPI STRING (132 genes)
ITGB2	Complement + C4A PPI STRING (132 genes)
SERPING1	Complement + C4A PPI STRING (132 genes)
VSIG4	Complement + C4A PPI STRING (132 genes)
VTN	Complement + C4A PPI STRING (132 genes)
C5AR2	Complement + C4A PPI STRING (132 genes)
ADAM10	Complement + C4A PPI STRING (132 genes)
AFP	Complement + C4A PPI STRING (132 genes)
AHSG	Complement + C4A PPI STRING (132 genes)
ALB	Complement + C4A PPI STRING (132 genes)
ANO8	Complement + C4A PPI STRING (132 genes)
APLP2	Complement + C4A PPI STRING (132 genes)
APOA1	Complement + C4A PPI STRING (132 genes)
APOA2	Complement + C4A PPI STRING (132 genes)
APOA5	Complement + C4A PPI STRING (132 genes)
APOB	Complement + C4A PPI STRING (132 genes)
APOE	Complement + C4A PPI STRING (132 genes)
APOL1	Complement + C4A PPI STRING (132 genes)
APP	Complement + C4A PPI STRING (132 genes)
BPIFB2	Complement + C4A PPI STRING (132 genes)
CALU	Complement + C4A PPI STRING (132 genes)
CHGB	Complement + C4A PPI STRING (132 genes)
CSF1	Complement + C4A PPI STRING (132 genes)
CST3	Complement + C4A PPI STRING (132 genes)
CYR61	Complement + C4A PPI STRING (132 genes)
DMP1	Complement + C4A PPI STRING (132 genes)
EVA1A	Complement + C4A PPI STRING (132 genes)
F5	Complement + C4A PPI STRING (132 genes)
FAM20A	Complement + C4A PPI STRING (132 genes)
FAM20C	Complement + C4A PPI STRING (132 genes)
FBN1	Complement + C4A PPI STRING (132 genes)
FGA	Complement + C4A PPI STRING (132 genes)
FGG	Complement + C4A PPI STRING (132 genes)
FN1	Complement + C4A PPI STRING (132 genes)
FSTL3	Complement + C4A PPI STRING (132 genes)
FUCA2	Complement + C4A PPI STRING (132 genes)
GAS6	Complement + C4A PPI STRING (132 genes)
HSP90B1	Complement + C4A PPI STRING (132 genes)
IGFBP1	Complement + C4A PPI STRING (132 genes)
IGFBP4	Complement + C4A PPI STRING (132 genes)
IGFBP5	Complement + C4A PPI STRING (132 genes)
IGFBP7	Complement + C4A PPI STRING (132 genes)
IGFPB3	Complement + C4A PPI STRING (132 genes)
IGLL5	Complement + C4A PPI STRING (132 genes)
IL6	Complement + C4A PPI STRING (132 genes)
ITIH2	Complement + C4A PPI STRING (132 genes)
