gene	set
C1QA	complement_57genes
C1QB	complement_57genes
C1QC	complement_57genes
C1R	complement_57genes
C1S	complement_57genes
C2	complement_57genes
C3	complement_57genes
C4A	complement_57genes
C4B	complement_57genes
C5	complement_57genes
C6	complement_57genes
C7	complement_57genes
C8A	complement_57genes
C8B	complement_57genes
C8G	complement_57genes
C9	complement_57genes
CFB	complement_57genes
CFD	complement_57genes
CFP	complement_57genes
COLEC10	complement_57genes
COLEC11	complement_57genes
FCN1	complement_57genes
FCN2	complement_57genes
FCN3	complement_57genes
MASP1	complement_57genes
MASP2	complement_57genes
MBL2	complement_57genes
C3AR1	complement_57genes
C4BPA	complement_57genes
C4BPB	complement_57genes
C5AR1	complement_57genes
CD46	complement_57genes
CD55	complement_57genes
CD59	complement_57genes
CD93	complement_57genes
CFH	complement_57genes
CFHR1	complement_57genes
CFHR2	complement_57genes
CFHR3	complement_57genes
CFHR4	complement_57genes
CFHR5	complement_57genes
CFI	complement_57genes
CLU	complement_57genes
CR1	complement_57genes
CR2	complement_57genes
CSMD1	complement_57genes
CSMD2	complement_57genes
CSMD3	complement_57genes
ELANE	complement_57genes
F2	complement_57genes
ITGAM	complement_57genes
ITGAX	complement_57genes
ITGB2	complement_57genes
SERPING1	complement_57genes
VSIG4	complement_57genes
VTN	complement_57genes
C5AR2	complement_57genes
C1QA	complement_and_C4A_PPI_stringDB_132genes
C1QB	complement_and_C4A_PPI_stringDB_132genes
C1QC	complement_and_C4A_PPI_stringDB_132genes
C1R	complement_and_C4A_PPI_stringDB_132genes
C1S	complement_and_C4A_PPI_stringDB_132genes
C2	complement_and_C4A_PPI_stringDB_132genes
C3	complement_and_C4A_PPI_stringDB_132genes
C4A	complement_and_C4A_PPI_stringDB_132genes
C4B	complement_and_C4A_PPI_stringDB_132genes
C5	complement_and_C4A_PPI_stringDB_132genes
C6	complement_and_C4A_PPI_stringDB_132genes
C7	complement_and_C4A_PPI_stringDB_132genes
C8A	complement_and_C4A_PPI_stringDB_132genes
C8B	complement_and_C4A_PPI_stringDB_132genes
C8G	complement_and_C4A_PPI_stringDB_132genes
C9	complement_and_C4A_PPI_stringDB_132genes
CFB	complement_and_C4A_PPI_stringDB_132genes
CFD	complement_and_C4A_PPI_stringDB_132genes
CFP	complement_and_C4A_PPI_stringDB_132genes
COLEC10	complement_and_C4A_PPI_stringDB_132genes
COLEC11	complement_and_C4A_PPI_stringDB_132genes
FCN1	complement_and_C4A_PPI_stringDB_132genes
FCN2	complement_and_C4A_PPI_stringDB_132genes
FCN3	complement_and_C4A_PPI_stringDB_132genes
MASP1	complement_and_C4A_PPI_stringDB_132genes
MASP2	complement_and_C4A_PPI_stringDB_132genes
MBL2	complement_and_C4A_PPI_stringDB_132genes
C3AR1	complement_and_C4A_PPI_stringDB_132genes
C4BPA	complement_and_C4A_PPI_stringDB_132genes
C4BPB	complement_and_C4A_PPI_stringDB_132genes
C5AR1	complement_and_C4A_PPI_stringDB_132genes
CD46	complement_and_C4A_PPI_stringDB_132genes
CD55	complement_and_C4A_PPI_stringDB_132genes
CD59	complement_and_C4A_PPI_stringDB_132genes
CD93	complement_and_C4A_PPI_stringDB_132genes
CFH	complement_and_C4A_PPI_stringDB_132genes
CFHR1	complement_and_C4A_PPI_stringDB_132genes
CFHR2	complement_and_C4A_PPI_stringDB_132genes
CFHR3	complement_and_C4A_PPI_stringDB_132genes
CFHR4	complement_and_C4A_PPI_stringDB_132genes
CFHR5	complement_and_C4A_PPI_stringDB_132genes
CFI	complement_and_C4A_PPI_stringDB_132genes
CLU	complement_and_C4A_PPI_stringDB_132genes
CR1	complement_and_C4A_PPI_stringDB_132genes
CR2	complement_and_C4A_PPI_stringDB_132genes
CSMD1	complement_and_C4A_PPI_stringDB_132genes
CSMD2	complement_and_C4A_PPI_stringDB_132genes
CSMD3	complement_and_C4A_PPI_stringDB_132genes
ELANE	complement_and_C4A_PPI_stringDB_132genes
F2	complement_and_C4A_PPI_stringDB_132genes
ITGAM	complement_and_C4A_PPI_stringDB_132genes
ITGAX	complement_and_C4A_PPI_stringDB_132genes
ITGB2	complement_and_C4A_PPI_stringDB_132genes
SERPING1	complement_and_C4A_PPI_stringDB_132genes
VSIG4	complement_and_C4A_PPI_stringDB_132genes
VTN	complement_and_C4A_PPI_stringDB_132genes
C5AR2	complement_and_C4A_PPI_stringDB_132genes
ADAM10	complement_and_C4A_PPI_stringDB_132genes
AFP	complement_and_C4A_PPI_stringDB_132genes
AHSG	complement_and_C4A_PPI_stringDB_132genes
ALB	complement_and_C4A_PPI_stringDB_132genes
ANO8	complement_and_C4A_PPI_stringDB_132genes
APLP2	complement_and_C4A_PPI_stringDB_132genes
APOA1	complement_and_C4A_PPI_stringDB_132genes
APOA2	complement_and_C4A_PPI_stringDB_132genes
APOA5	complement_and_C4A_PPI_stringDB_132genes
APOB	complement_and_C4A_PPI_stringDB_132genes
APOE	complement_and_C4A_PPI_stringDB_132genes
APOL1	complement_and_C4A_PPI_stringDB_132genes
APP	complement_and_C4A_PPI_stringDB_132genes
BPIFB2	complement_and_C4A_PPI_stringDB_132genes
CALU	complement_and_C4A_PPI_stringDB_132genes
CHGB	complement_and_C4A_PPI_stringDB_132genes
CSF1	complement_and_C4A_PPI_stringDB_132genes
CST3	complement_and_C4A_PPI_stringDB_132genes
CYR61	complement_and_C4A_PPI_stringDB_132genes
DMP1	complement_and_C4A_PPI_stringDB_132genes
EVA1A	complement_and_C4A_PPI_stringDB_132genes
F5	complement_and_C4A_PPI_stringDB_132genes
FAM20A	complement_and_C4A_PPI_stringDB_132genes
FAM20C	complement_and_C4A_PPI_stringDB_132genes
FBN1	complement_and_C4A_PPI_stringDB_132genes
FGA	complement_and_C4A_PPI_stringDB_132genes
FGG	complement_and_C4A_PPI_stringDB_132genes
FN1	complement_and_C4A_PPI_stringDB_132genes
FSTL3	complement_and_C4A_PPI_stringDB_132genes
FUCA2	complement_and_C4A_PPI_stringDB_132genes
GAS6	complement_and_C4A_PPI_stringDB_132genes
HSP90B1	complement_and_C4A_PPI_stringDB_132genes
IGFBP1	complement_and_C4A_PPI_stringDB_132genes
IGFBP4	complement_and_C4A_PPI_stringDB_132genes
IGFBP5	complement_and_C4A_PPI_stringDB_132genes
IGFBP7	complement_and_C4A_PPI_stringDB_132genes
IGFPB3	complement_and_C4A_PPI_stringDB_132genes
IGLL5	complement_and_C4A_PPI_stringDB_132genes
IL6	complement_and_C4A_PPI_stringDB_132genes
